"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5275","Check sorting of products by alphabet A-Z","","2026-09-09","passed","2026-09-09","","org.example.tools.tests.HomeTest","org.example.tools.tests.HomeTest","sortingByNameAZ_shouldOrderProductsAlphabetically"
"","5369","Check sorting of products by price from High to Low","","2026-09-09","passed","2026-09-09","","org.example.tools.tests.HomeTest","org.example.tools.tests.HomeTest","sortingByPriceHighToLow_shouldOrderProductsByDescendingPrice"
"","6520","Home is visible in the header","","2026-09-09","passed","2026-09-09","","org.example.tools.tests.HeaderTest","org.example.tools.tests.HeaderTest","testIfHomeIsVisible"
"","1588","Check Home page title","","2026-09-09","passed","2026-09-09","","org.example.tools.tests.HomeTest","org.example.tools.tests.HomeTest","homePageTitle_shouldMatchExpected"
"","5480","Check sorting of products by price from Low to High","","2026-09-09","passed","2026-09-09","","org.example.tools.tests.HomeTest","org.example.tools.tests.HomeTest","sortingByPriceLowToHigh_shouldOrderProductsByAscendingPrice"
"","2568","Check number of products on Home page","","2026-09-09","passed","2026-09-09","","org.example.tools.tests.HomeTest","org.example.tools.tests.HomeTest","homePage_shouldShowAllProductsFromApi"
"","2005","Logging with registered user","","2026-09-09","passed","2026-09-09","","org.example.tools.tests.LoginTest","org.example.tools.tests.LoginTest","testLoginWithRegisteredUser"
"","1","add_shouldReturnFour()","","2026-09-09","passed","2026-09-09","","org.example.tools.tests.TestTest","org.example.tools.tests.TestTest","add_shouldReturnFour"
"","4702","Check name, image and price of cards","","2026-09-09","passed","2026-09-09","","org.example.tools.tests.HomeTest","org.example.tools.tests.HomeTest","productCards_shouldHaveNameImageAndPrice"
"","5147","Customer registration with valid data","","2026-09-09","passed","2026-09-09","","org.example.tools.tests.RegistrationTest","org.example.tools.tests.RegistrationTest","testUserRegistration"
